cast,director,opening_date,opening_year,title
"Jatin Khurana,Ameesha Patel,Angela Krislinzki",Akashaditya Lama,2024-01-05,2024,Tauba Tera Jalwa
"Katrina Kaif,Vijay Sethupathi",Sriram Raghavan,2024-01-12,2024,Merry Christmas[a]
Pankaj Tripathi,Ravi Jadhav,2024-01-19,2024,Main Atal Hoon
"Aadil Khan,Vardhan Puri,Monica Chaudhary",Shantanu Anant Tambe,2024-01-19,2024,Dashmi
"Deepika Padukone,Hrithik Roshan,Anil Kapoor",Siddharth Anand,2024-01-25,2024,Fighter
"Nawazuddin Siddiqui,Regina Cassandra",Rasikh Khan,2024-02-02,2024,Section 108
"Shahid Kapoor,Kriti Sanon,Dharmendra,Dimple Kapadia","Amit Joshi,Aradhana Sah",2024-02-09,2024,Untitled film
"Akshay Kumar,Paresh Rawal,Radhika Madan",Sudha Kongara,2024-02-16,2024,Untitled Soorarai Pottru Remake
,Dibakar Banerjee,2024-02-16,2024,Love Sex Aur Dhokha 2
"Varun Tej,Manushi Chhillar,Mir Sarwar",Shakti Pratap Singh Hada,2024-02-16,2024,Operation Valentine[b]
"Vicky Kaushal,Ammy Virk,Tripti Dimri",Anand Tiwari,2024-02-23,2024,Mere Mehboob Mere Sanam
"Vidyut Jammwal,Nora Fatehi,Arjun Rampal,Amy Jackson",Aditya Datt,2024-02-23,2024,Crakk
"Ravi Kishan,Nitanshi Goel,Pratibha Ranta,Sparsh Shrivastava,Chhaya Kadam",Kiran Rao,2024-03-01,2024,Laapataa Ladies
"Ajay Devgn,R. Madhavan,Jyothika",Vikas Bahl,2024-03-08,2024,Untitled film (Remake of Vash)
"Sidharth Malhotra,Disha Patani,Raashii Khanna","Sagar Ambre,Pushkar Ojha",2024-03-15,2024,Yodha
"Tabu,Kareena Kapoor Khan,Kriti Sanon,Diljit Dosanjh",Rajesh Krishnan,2024-03-22,2024,The Crew
"Aditya Roy Kapur,Sara Ali Khan,Anupam Kher,Neena Gupta,Pankaj Tripathi,Konkona Sen Sharma,Ali Fazal,Fatima Sana Shaikh",Anurag Basu,2024-03-29,2024,Metro... In Dino
"Abhay Verma,Sharvari Wagh,Mona Singh",Aditya Sarpotdar,2024-03-29,2024,Munjhya
"Akshay Kumar,Tiger Shroff,Prithviraj Sukumaran,Sonakshi Sinha,Manushi Chhillar,Alaya F",Ali Abbas Zafar,2024-04-11,2024,Bade Miyan Chote Miyan
"Rajkummar Rao,Janhvi Kapoor",Sharan Sharma,2024-04-19,2024,Mr And Mrs Mahi
"John Abraham,Manushi Chhillar,Neeru Bajwa",Arun Gopalan,2024-04-26,2024,Tehran
"Ajay Devgn,Tabu,Jimmy Sheirgill,Saiee Manjrekar,Shantanu Maheshwari",Neeraj Pandey,2024-04-26,2024,Auron Mein Kahan Dum Tha!
"Rajkummar Rao,Jyothika,Alaya F,Sharad Kelkar",Tushar Hiranandani,2024-05-10,2024,Sri
Kartik Aaryan,Kabir Khan,2024-06-14,2024,Chandu Champion
,,2024-07-01,2024,
"Deepika Padukone,Tiger Shroff,Arjun Kapoor,Ajay Devgn,Akshay Kumar,Kareena Kapoor Khan,Ranveer Singh",Rohit Shetty,2024-08-15,2024,Singham Again
"Shraddha Kapoor,Rajkummar Rao,Aparshakti Khurana,Pankaj Tripathi,Abhishek Banerjee",Amar Kaushik,2024-08-30,2024,Stree 2
"Alia Bhatt,Vedang Raina",Vasan Bala,2024-09-27,2024,Jigra
"Akshay Kumar,Veer Pahariya","Sandeep Kelwani,Abhishek Kapur",2024-10-02,2024,Sky Force
"Shahid Kapoor,Pooja Hegde",Rosshan Andrrews,2024-10-11,2024,Deva
"Himesh Reshammiya,Prabhu Deva",Himesh Reshammiya,2024-10-11,2024,Badass Ravikumar
Kartik Aaryan,Anees Bazmee,2024-11-01,2024,Bhool Bhulaiyaa 3
"Ajay Devgn,Vaani Kapoor",Raj Kumar Gupta,2024-11-15,2024,Raid 2
"Vicky Kaushal,Rashmika Mandanna",Laxman Utekar,2024-12-06,2024,Chhaava
"Akshay Kumar,Sanjay Dutt,Suniel Shetty,Raveena Tandon,Lara Dutta,Jacqueline Fernandez,Disha Patani,Vrihi Kodvara,Arshad Warsi,Paresh Rawal,Johnny Lever,Rajpal Yadav,Tusshar Kapoor,Shreyas Talpade,Krushna Abhishek,Kiku Sharda,Daler Mehndi,Mika Singh,Rahul Dev,Mukesh Tiwari,Sharib Hashmi,Inaamulhaq,Zakir Hossain,Yashpal Sharma",Ahmed Khan,2024-12-20,2024,Welcome To The Jungle
"Arjun Rampal,Manav Kaul,Madhoo,Anand Tiwari,Samreen Kaur",Bugs Bhargava Krishna,2021-01-01,2021,Nail Polish
